ID,campanha_ID,unidade_ID,taxaAtivacao,dataRegistro
ac-u023-camp-001,camp-001,u023,95.5,2025-11-30
ac-u023-camp-002,camp-002,u023,95.5,2026-01-31
ac-u023-camp-003,camp-003,u023,83.5,2026-02-28
ac-u023-camp-004,camp-004,u023,81.0,2026-03-31
ac-u023-camp-005,camp-005,u023,70.5,2026-03-31
ac-u023-camp-006,camp-006,u023,89.0,2026-05-11
ac-u023-camp-007,camp-007,u023,83.5,2026-07-31
ac-u045-camp-001,camp-001,u045,91.1,2025-11-30
ac-u045-camp-002,camp-002,u045,92.1,2026-01-31
ac-u045-camp-003,camp-003,u045,82.8,2026-02-28
ac-u045-camp-004,camp-004,u045,79.9,2026-03-31
ac-u045-camp-005,camp-005,u045,69.1,2026-03-31
ac-u045-camp-006,camp-006,u045,88.2,2026-05-11
ac-u045-camp-007,camp-007,u045,82.3,2026-07-31
ac-u163-camp-001,camp-001,u163,82.1,2025-11-30
ac-u163-camp-002,camp-002,u163,82.0,2026-01-31
ac-u163-camp-003,camp-003,u163,71.0,2026-02-28
ac-u163-camp-004,camp-004,u163,67.9,2026-03-31
ac-u163-camp-005,camp-005,u163,60.9,2026-03-31
ac-u163-camp-006,camp-006,u163,77.4,2026-05-11
ac-u163-camp-007,camp-007,u163,75.9,2026-07-31
ac-u114-camp-001,camp-001,u114,78.2,2025-11-30
ac-u114-camp-002,camp-002,u114,80.1,2026-01-31
ac-u114-camp-003,camp-003,u114,71.0,2026-02-28
ac-u114-camp-004,camp-004,u114,68.0,2026-03-31
ac-u114-camp-005,camp-005,u114,60.7,2026-03-31
ac-u114-camp-006,camp-006,u114,73.3,2026-05-11
ac-u114-camp-007,camp-007,u114,69.4,2026-07-31
ac-u225-camp-001,camp-001,u225,85.0,2025-11-30
ac-u225-camp-002,camp-002,u225,87.9,2026-01-31
ac-u225-camp-003,camp-003,u225,74.2,2026-02-28
ac-u225-camp-004,camp-004,u225,70.5,2026-03-31
ac-u225-camp-005,camp-005,u225,65.8,2026-03-31
ac-u225-camp-006,camp-006,u225,78.7,2026-05-11
ac-u225-camp-007,camp-007,u225,74.1,2026-07-31
ac-u078-camp-001,camp-001,u078,84.0,2025-11-30
ac-u078-camp-002,camp-002,u078,85.9,2026-01-31
ac-u078-camp-003,camp-003,u078,74.9,2026-02-28
ac-u078-camp-004,camp-004,u078,71.2,2026-03-31
ac-u078-camp-005,camp-005,u078,63.1,2026-03-31
ac-u078-camp-006,camp-006,u078,80.3,2026-05-11
ac-u078-camp-007,camp-007,u078,76.3,2026-07-31
ac-u134-camp-001,camp-001,u134,81.2,2025-11-30
ac-u134-camp-002,camp-002,u134,84.0,2026-01-31
ac-u134-camp-003,camp-003,u134,72.2,2026-02-28
ac-u134-camp-004,camp-004,u134,67.6,2026-03-31
ac-u134-camp-005,camp-005,u134,64.6,2026-03-31
ac-u134-camp-006,camp-006,u134,74.6,2026-05-11
ac-u134-camp-007,camp-007,u134,73.1,2026-07-31
ac-u256-camp-001,camp-001,u256,82.6,2025-11-30
ac-u256-camp-002,camp-002,u256,86.5,2026-01-31
ac-u256-camp-003,camp-003,u256,71.0,2026-02-28
ac-u256-camp-004,camp-004,u256,69.4,2026-03-31
ac-u256-camp-005,camp-005,u256,65.4,2026-03-31
ac-u256-camp-006,camp-006,u256,79.4,2026-05-11
ac-u256-camp-007,camp-007,u256,71.9,2026-07-31
ac-u092-camp-001,camp-001,u092,81.7,2025-11-30
ac-u092-camp-002,camp-002,u092,84.6,2026-01-31
ac-u092-camp-003,camp-003,u092,71.9,2026-02-28
ac-u092-camp-004,camp-004,u092,66.3,2026-03-31
ac-u092-camp-005,camp-005,u092,62.9,2026-03-31
ac-u092-camp-006,camp-006,u092,76.7,2026-05-11
ac-u092-camp-007,camp-007,u092,71.7,2026-07-31
ac-u295-camp-001,camp-001,u295,78.2,2025-11-30
ac-u295-camp-002,camp-002,u295,83.1,2026-01-31
ac-u295-camp-003,camp-003,u295,70.0,2026-02-28
ac-u295-camp-004,camp-004,u295,66.5,2026-03-31
ac-u295-camp-005,camp-005,u295,59.2,2026-03-31
ac-u295-camp-006,camp-006,u295,76.8,2026-05-11
ac-u295-camp-007,camp-007,u295,69.9,2026-07-31
ac-u115-camp-001,camp-001,u115,77.0,2025-11-30
ac-u115-camp-002,camp-002,u115,77.3,2026-01-31
ac-u115-camp-003,camp-003,u115,66.9,2026-02-28
ac-u115-camp-004,camp-004,u115,66.0,2026-03-31
ac-u115-camp-005,camp-005,u115,56.1,2026-03-31
ac-u115-camp-006,camp-006,u115,71.9,2026-05-11
ac-u115-camp-007,camp-007,u115,65.2,2026-07-31
ac-u234-camp-001,camp-001,u234,74.1,2025-11-30
ac-u234-camp-002,camp-002,u234,72.9,2026-01-31
ac-u234-camp-003,camp-003,u234,63.2,2026-02-28
ac-u234-camp-004,camp-004,u234,61.9,2026-03-31
ac-u234-camp-005,camp-005,u234,56.7,2026-03-31
ac-u234-camp-006,camp-006,u234,66.6,2026-05-11
ac-u234-camp-007,camp-007,u234,64.5,2026-07-31
ac-u278-camp-001,camp-001,u278,71.7,2025-11-30
ac-u278-camp-002,camp-002,u278,75.0,2026-01-31
ac-u278-camp-003,camp-003,u278,65.1,2026-02-28
ac-u278-camp-004,camp-004,u278,61.3,2026-03-31
ac-u278-camp-005,camp-005,u278,53.2,2026-03-31
ac-u278-camp-006,camp-006,u278,67.9,2026-05-11
ac-u278-camp-007,camp-007,u278,65.8,2026-07-31
ac-u189-camp-001,camp-001,u189,73.2,2025-11-30
ac-u189-camp-002,camp-002,u189,71.5,2026-01-31
ac-u189-camp-003,camp-003,u189,60.2,2026-02-28
ac-u189-camp-004,camp-004,u189,59.0,2026-03-31
ac-u189-camp-005,camp-005,u189,55.5,2026-03-31
ac-u189-camp-006,camp-006,u189,65.5,2026-05-11
ac-u189-camp-007,camp-007,u189,62.5,2026-07-31
ac-u245-camp-001,camp-001,u245,69.3,2025-11-30
ac-u245-camp-002,camp-002,u245,70.0,2026-01-31
ac-u245-camp-003,camp-003,u245,60.4,2026-02-28
ac-u245-camp-004,camp-004,u245,57.2,2026-03-31
ac-u245-camp-005,camp-005,u245,52.3,2026-03-31
ac-u245-camp-006,camp-006,u245,66.6,2026-05-11
ac-u245-camp-007,camp-007,u245,64.2,2026-07-31
ac-u156-camp-001,camp-001,u156,76.9,2025-11-30
ac-u156-camp-002,camp-002,u156,77.2,2026-01-31
ac-u156-camp-003,camp-003,u156,69.1,2026-02-28
ac-u156-camp-004,camp-004,u156,65.6,2026-03-31
ac-u156-camp-005,camp-005,u156,59.0,2026-03-31
ac-u156-camp-006,camp-006,u156,71.7,2026-05-11
ac-u156-camp-007,camp-007,u156,67.9,2026-07-31
ac-u201-camp-001,camp-001,u201,67.3,2025-11-30
ac-u201-camp-002,camp-002,u201,69.1,2026-01-31
ac-u201-camp-003,camp-003,u201,59.6,2026-02-28
ac-u201-camp-004,camp-004,u201,56.9,2026-03-31
ac-u201-camp-005,camp-005,u201,51.6,2026-03-31
ac-u201-camp-006,camp-006,u201,63.2,2026-05-11
ac-u201-camp-007,camp-007,u201,62.3,2026-07-31
ac-u213-camp-001,camp-001,u213,68.4,2025-11-30
ac-u213-camp-002,camp-002,u213,71.1,2026-01-31
ac-u213-camp-003,camp-003,u213,59.8,2026-02-28
ac-u213-camp-004,camp-004,u213,57.6,2026-03-31
ac-u213-camp-005,camp-005,u213,50.3,2026-03-31
ac-u213-camp-006,camp-006,u213,64.9,2026-05-11
ac-u213-camp-007,camp-007,u213,59.0,2026-07-31
ac-u267-camp-001,camp-001,u267,62.2,2025-11-30
ac-u267-camp-002,camp-002,u267,61.4,2026-01-31
ac-u267-camp-003,camp-003,u267,52.0,2026-02-28
ac-u267-camp-004,camp-004,u267,50.5,2026-03-31
ac-u267-camp-005,camp-005,u267,47.3,2026-03-31
ac-u267-camp-006,camp-006,u267,59.2,2026-05-11
ac-u267-camp-007,camp-007,u267,53.6,2026-07-31
ac-u178-camp-001,camp-001,u178,60.9,2025-11-30
ac-u178-camp-002,camp-002,u178,59.0,2026-01-31
ac-u178-camp-003,camp-003,u178,51.5,2026-02-28
ac-u178-camp-004,camp-004,u178,48.6,2026-03-31
ac-u178-camp-005,camp-005,u178,46.6,2026-03-31
ac-u178-camp-006,camp-006,u178,56.6,2026-05-11
ac-u178-camp-007,camp-007,u178,50.1,2026-07-31
ac-u289-camp-001,camp-001,u289,56.6,2025-11-30
ac-u289-camp-002,camp-002,u289,54.2,2026-01-31
ac-u289-camp-003,camp-003,u289,47.1,2026-02-28
ac-u289-camp-004,camp-004,u289,48.4,2026-03-31
ac-u289-camp-005,camp-005,u289,40.3,2026-03-31
ac-u289-camp-006,camp-006,u289,53.0,2026-05-11
ac-u289-camp-007,camp-007,u289,50.7,2026-07-31
ac-u147-camp-001,camp-001,u147,55.5,2025-11-30
ac-u147-camp-002,camp-002,u147,56.1,2026-01-31
ac-u147-camp-003,camp-003,u147,49.8,2026-02-28
ac-u147-camp-004,camp-004,u147,46.5,2026-03-31
ac-u147-camp-005,camp-005,u147,43.7,2026-03-31
ac-u147-camp-006,camp-006,u147,52.8,2026-05-11
ac-u147-camp-007,camp-007,u147,49.9,2026-07-31
