ID,unidade_ID,dataInicio,dataVencimento,status_code,valorRoyalties
cont-u023,u023,2019-03-15,2029-03-15,ATIVO,79090.91
cont-u045,u045,2020-06-01,2028-06-01,ATIVO,70909.09
cont-u225,u225,2021-02-10,2031-02-10,ATIVO,38181.82
cont-u078,u078,2020-08-20,2028-08-20,ATIVO,36818.18
cont-u134,u134,2021-05-12,2031-05-12,ATIVO,35454.55
cont-u256,u256,2021-11-08,2031-11-08,ATIVO,36136.36
cont-u092,u092,2020-10-05,2028-10-05,ATIVO,34772.73
cont-u295,u295,2022-03-01,2032-03-01,ATIVO,34090.91
cont-u115,u115,2021-01-18,2026-10-18,VENCENDO_90DIAS,32045.45
cont-u234,u234,2022-07-14,2027-07-14,ATIVO,16363.64
cont-u278,u278,2022-09-20,2027-09-20,ATIVO,15000.0
cont-u189,u189,2022-01-10,2027-01-10,ATIVO,14318.18
cont-u245,u245,2022-04-05,2027-04-05,ATIVO,13909.09
cont-u156,u156,2021-08-22,2026-09-22,VENCENDO_90DIAS,31363.64
cont-u201,u201,2022-06-30,2026-08-20,VENCENDO_30DIAS,13363.64
cont-u213,u213,2022-08-15,2026-08-15,VENCENDO_30DIAS,13090.91
cont-u267,u267,2022-11-01,2027-11-01,ATIVO,12954.55
cont-u178,u178,2021-03-25,2026-09-25,VENCENDO_90DIAS,28636.36
cont-u289,u289,2023-01-15,2028-01-15,ATIVO,11727.27
cont-u147,u147,2021-07-01,2031-07-01,ATIVO,33409.09
