ID,unidade_ID,periodo,categoria,faturamento,margemBruta,qtdProdutos,participacao,meta,subCategoria,repeatPurchaseRate,loyaltyParticipation,conversionRate
kc-u023-202601-MOD,u023,202601,Moda,4146736.36,48.6,46,58.0,46.5,Footwear,29.6,38.6,28.8
kc-u023-202601-ACE,u023,202601,Acessórios,1572900.0,38.0,39,22.0,36.2,Watches & Jewelry,35.3,45.3,31.1
kc-u023-202601-BEL,u023,202601,Beleza,1286918.18,55.2,34,18.0,53.1,Wellness,42.0,55.0,34.2
kc-u023-202602-MOD,u023,202602,Moda,4315990.91,48.3,47,58.0,46.5,Apparel,27.5,36.5,27.8
kc-u023-202602-ACE,u023,202602,Acessórios,1637100.0,38.2,40,22.0,36.2,Sunglasses,35.0,45.0,31.0
kc-u023-202602-BEL,u023,202602,Beleza,1339445.45,55.3,35,18.0,53.1,Skin Care,40.8,53.8,33.6
kc-u023-202603-MOD,u023,202603,Moda,4189050.0,48.4,46,58.0,46.5,Apparel,27.5,36.5,27.8
kc-u023-202603-ACE,u023,202603,Acessórios,1588950.0,38.2,39,22.0,36.2,Sunglasses,35.3,45.3,31.1
kc-u023-202603-BEL,u023,202603,Beleza,1300050.0,54.8,34,18.0,53.1,Makeup,41.7,54.7,34.1
kc-u023-202604-MOD,u023,202604,Moda,4189050.0,48.5,46,58.0,46.5,Footwear,29.3,38.3,28.6
kc-u023-202604-ACE,u023,202604,Acessórios,1588950.0,38.2,39,22.0,36.2,Watches & Jewelry,35.9,45.9,31.4
kc-u023-202604-BEL,u023,202604,Beleza,1300050.0,55.2,34,18.0,53.1,Skin Care,42.9,55.9,34.7
kc-u023-202605-MOD,u023,202605,Moda,4400618.18,48.4,48,58.0,46.5,Accessories & Jewelry,30.2,39.2,29.1
kc-u023-202605-ACE,u023,202605,Acessórios,1669200.0,38.4,41,22.0,36.2,Watches & Jewelry,35.6,45.6,31.3
kc-u023-202605-BEL,u023,202605,Beleza,1365709.09,55.3,36,18.0,53.1,Wellness,42.6,55.6,34.5
kc-u023-202606-MOD,u023,202606,Moda,4189050.0,48.6,46,58.0,46.5,Accessories & Jewelry,29.0,38.0,28.5
kc-u023-202606-ACE,u023,202606,Acessórios,1588950.0,38.3,39,22.0,36.2,Sunglasses,35.9,45.9,31.4
