ID,unidade_ID,periodo,faturamento,ticketMedio,qtdTransacoes,crescimentoMoM,crescimentoYoY,nps,statusKPI_code,margemBruta,cmv,royalties,inadimplencia,fluxoClientes,conversao
kpi-u023-202601,u023,202601,7076727.27,4223.05,22855,1.48,8.88,72.0,DESTAQUE,42.55,57.45,424603.64,0.85,50277,68.5
kpi-u023-202602,u023,202602,7096513.64,4197.68,23059,1.36,8.16,71.7,DESTAQUE,42.65,57.35,425790.82,0.95,50727,68.3
kpi-u023-202603,u023,202603,7502468.18,4284.41,23877,1.77,10.62,72.5,DESTAQUE,42.25,57.75,450148.09,0.8,52527,68.4
kpi-u023-202604,u023,202604,7770722.73,4328.73,24477,1.98,11.88,73.0,DESTAQUE,42.7,57.3,466243.36,1.0,53850,68.5
kpi-u023-202605,u023,202605,7187359.09,4132.23,23714,1.05,6.3,71.1,DESTAQUE,42.55,57.45,431241.55,0.85,52159,68.6
kpi-u023-202606,u023,202606,7875736.36,4292.86,25023,1.81,10.86,72.6,DESTAQUE,42.25,57.75,472544.18,0.8,55050,68.4
kpi-u045-202601,u045,202601,6855545.45,4074.95,22936,1.26,7.56,69.5,DESTAQUE,41.75,58.25,411332.73,1.3,48164,67.3
kpi-u045-202602,u045,202602,6505690.91,3950.32,22459,0.64,3.84,68.3,DESTAQUE,41.85,58.15,390341.45,1.15,47155,67.1
kpi-u045-202603,u045,202603,6529840.91,3938.32,22609,0.58,3.48,68.2,DESTAQUE,41.65,58.35,391790.45,1.2,47468,67.2
kpi-u045-202604,u045,202604,6822313.64,4004.59,23236,0.91,5.46,68.8,DESTAQUE,41.65,58.35,409338.82,1.2,48791,67.0
kpi-u045-202605,u045,202605,6876640.91,4000.64,23441,0.89,5.34,68.8,DESTAQUE,41.95,58.05,412598.45,1.25,49214,67.2
kpi-u045-202606,u045,202606,7022659.09,4022.73,23809,1.0,6.0,69.0,DESTAQUE,41.65,58.35,421359.55,1.2,49991,67.2
kpi-u225-202601,u225,202601,3367636.36,3121.5,14714,0.88,5.28,64.2,NORMAL,39.25,60.75,168381.82,1.2,25009,63.2
kpi-u225-202602,u225,202602,3391213.64,3120.0,14823,0.87,5.22,64.1,NORMAL,39.3,60.7,169560.68,1.25,25186,63.1
kpi-u225-202603,u225,202603,3282559.09,3057.82,14632,0.47,2.82,63.3,NORMAL,39.5,60.5,164127.95,1.2,24873,63.1
kpi-u225-202604,u225,202604,3373827.27,3087.27,14905,0.66,3.96,63.7,NORMAL,39.35,60.65,168691.36,1.3,25336,63.1
kpi-u225-202605,u225,202605,3604322.73,3179.05,15464,1.25,7.5,64.9,NORMAL,39.25,60.75,180216.14,1.2,26277,63.0
kpi-u225-202606,u225,202606,3601854.55,3165.0,15518,1.16,6.96,64.7,NORMAL,39.45,60.55,180092.73,1.4,26373,63.0
kpi-u078-202601,u078,202601,3307118.18,3097.36,14564,0.69,4.14,63.4,NORMAL,38.85,61.15,165355.91,1.55,23291,61.7
kpi-u078-202602,u078,202602,3291040.91,3081.95,14564,0.59,3.54,63.2,NORMAL,38.5,61.5,164552.05,1.45,23291,61.9
kpi-u078-202603,u078,202603,3376336.36,3114.14,14782,0.8,4.8,63.6,NORMAL,38.65,61.35,168816.82,1.6,23645,61.7
kpi-u078-202604,u078,202604,3254850.0,3049.77,14550,0.38,2.28,62.8,NORMAL,38.9,61.1,162742.5,1.6,23277,61.6
kpi-u078-202605,u078,202605,3426736.36,3121.91,14973,0.85,5.1,63.7,NORMAL,38.65,61.35,171336.82,1.6,23945,61.7
kpi-u078-202606,u078,202606,3443863.64,3121.91,15041,0.85,5.1,63.7,NORMAL,38.45,61.55,172193.18,1.4,24055,61.8
