"ID","unidade_ID","periodoPrevisao","receitaPrevista","receitaAnterior","variacaoEsperada","cenarioOtimista","cenarioRealista","cenarioPessimista","driversJson","dataGeracao"
"prev-u023-14d","u023","14d","3850000.00","2996108.95","28.50","4427500.00","3850000.00","3272500.00","[{""driver"":""Campanha Verão Tropical"",""impactoPct"":25},{""driver"":""Onda de calor prevista"",""impactoPct"":15}]","2026-08-07T10:00:00"
"prev-u023-30d","u023","30d","8250000.00","6547619.05","26.00","9487500.00","8250000.00","7012500.00","[{""driver"":""Campanha Verão Tropical"",""impactoPct"":22},{""driver"":""Expansão região Sul"",""impactoPct"":10}]","2026-08-07T10:00:00"
"prev-u045-14d","u045","14d","4200000.00","3181818.18","32.00","4830000.00","4200000.00","3570000.00","[{""driver"":""Lançamento Coleção Outono"",""impactoPct"":30},{""driver"":""Black Friday antecipado"",""impactoPct"":12}]","2026-08-07T10:00:00"
"prev-u045-30d","u045","30d","9000000.00","6923076.92","30.00","10350000.00","9000000.00","7650000.00","[{""driver"":""Lançamento Coleção Outono"",""impactoPct"":28},{""driver"":""NPS acima 75"",""impactoPct"":8}]","2026-08-07T10:00:00"
"prev-u163-14d","u163","14d","3600000.00","3050847.46","18.00","4140000.00","3600000.00","3060000.00","[{""driver"":""Campanha Inverno BR"",""impactoPct"":20},{""driver"":""Vitrine atualizada"",""impactoPct"":8}]","2026-08-07T10:00:00"
"prev-u163-30d","u163","30d","7700000.00","6609442.06","16.50","8855000.00","7700000.00","6545000.00","[{""driver"":""Campanha Inverno BR"",""impactoPct"":18},{""driver"":""Aumento mix produto"",""impactoPct"":6}]","2026-08-07T10:00:00"
"prev-u114-14d","u114","14d","3750000.00","3073770.49","22.00","4312500.00","3750000.00","3187500.00","[{""driver"":""Tendência sandálias amarração"",""impactoPct"":22},{""driver"":""Fidelização clientes"",""impactoPct"":10}]","2026-08-07T10:00:00"
"prev-u114-30d","u114","30d","8050000.00","6708333.33","20.00","9257500.00","8050000.00","6842500.00","[{""driver"":""Tendência sandálias amarração"",""impactoPct"":20},{""driver"":""Fidelização clientes"",""impactoPct"":9}]","2026-08-07T10:00:00"
"prev-u225-14d","u225","14d","1620000.00","1402597.40","15.50","1863000.00","1620000.00","1377000.00","[{""driver"":""Promoção regional"",""impactoPct"":18},{""driver"":""Grade completa na vitrine"",""impactoPct"":10}]","2026-08-07T10:00:00"
"prev-u225-30d","u225","30d","3480000.00","3052631.58","14.00","4002000.00","3480000.00","2958000.00","[{""driver"":""Promoção regional"",""impactoPct"":16},{""driver"":""Grade completa na vitrine"",""impactoPct"":9}]","2026-08-07T10:00:00"
