ID,unidade_ID,scoreSaude,compliancePct,performancePct,qtdAlertasAlta,qtdAlertasMedia,dataAtualizacao,scoreCriticality
saude-u023,u023,88,95,92,0,0,2026-06-30T23:59:59Z,3
saude-u045,u045,82,90,87,0,1,2026-06-30T23:59:59Z,3
saude-u225,u225,79,88,83,0,1,2026-06-30T23:59:59Z,3
saude-u078,u078,76,85,80,1,1,2026-06-30T23:59:59Z,3
saude-u134,u134,74,82,78,0,1,2026-06-30T23:59:59Z,3
saude-u256,u256,72,80,76,1,1,2026-06-30T23:59:59Z,3
saude-u092,u092,71,79,75,0,1,2026-06-30T23:59:59Z,3
saude-u295,u295,66,75,70,1,2,2026-06-30T23:59:59Z,2
saude-u115,u115,65,72,68,1,2,2026-06-30T23:59:59Z,2
saude-u234,u234,65,71,68,1,2,2026-06-30T23:59:59Z,2
saude-u278,u278,63,70,66,1,2,2026-06-30T23:59:59Z,2
saude-u189,u189,62,69,65,2,2,2026-06-30T23:59:59Z,2
saude-u245,u245,58,65,62,2,3,2026-06-30T23:59:59Z,2
saude-u156,u156,55,62,59,2,3,2026-06-30T23:59:59Z,2
saude-u201,u201,57,63,61,2,2,2026-06-30T23:59:59Z,2
saude-u213,u213,51,58,55,3,3,2026-06-30T23:59:59Z,2
saude-u267,u267,42,48,45,3,4,2026-06-30T23:59:59Z,1
saude-u178,u178,43,49,46,3,4,2026-06-30T23:59:59Z,1
saude-u289,u289,38,43,41,4,5,2026-06-30T23:59:59Z,1
saude-u147,u147,32,45,38,3,5,2026-06-30T23:59:59Z,1
