ID,unidade_ID,periodo,sku,nomeProduto,precoPraticado,qtdVendida,dataCaptura
vp-147-001,u147,202606,SKU-001,Calça Jeans Slim,215.0,42,2026-06-30T20:00:00Z
vp-147-002,u147,202606,SKU-002,Camiseta Básica,68.0,95,2026-06-30T20:00:00Z
vp-147-003,u147,202606,SKU-003,Vestido Midi,229.9,28,2026-06-30T20:00:00Z
vp-147-004,u147,202606,SKU-004,Tênis Casual,269.9,31,2026-06-30T20:00:00Z
vp-147-005,u147,202606,SKU-005,Bolsa Transversal,179.0,18,2026-06-30T20:00:00Z
vp-147-006,u147,202606,SKU-006,Jaqueta Jeans,355.0,24,2026-06-30T20:00:00Z
vp-147-007,u147,202606,SKU-007,Shorts Cargo,145.0,15,2026-06-30T20:00:00Z
vp-147-008,u147,202606,SKU-008,Blusa Cropped,94.0,38,2026-06-30T20:00:00Z
vp-147-009,u147,202606,SKU-009,Saia Midi Plissada,205.0,12,2026-06-30T20:00:00Z
vp-147-010,u147,202606,SKU-010,Chinelo Slide,88.0,22,2026-06-30T20:00:00Z
vp-147-011,u147,202606,SKU-011,Boné Aba Curva,60.0,30,2026-06-30T20:00:00Z
vp-147-012,u147,202606,SKU-012,Mochila Urban,219.0,8,2026-06-30T20:00:00Z
vp-147-013,u147,202606,SKU-013,Calça Cargo,195.0,19,2026-06-30T20:00:00Z
vp-147-014,u147,202606,SKU-014,Polo Masculina,115.0,25,2026-06-30T20:00:00Z
vp-147-015,u147,202606,SKU-015,Vestido Floral,238.0,11,2026-06-30T20:00:00Z
vp-147-016,u147,202606,SKU-999,Short Genérico Sem Marca,49.9,18,2026-06-30T20:00:00Z
